LocationFromNERflair,policereport_id
Oberschöneweide,177
Wilhelminenhofstraße,177
Rathausstraße,178
Mariendorf,178
Kreuzberg,179
Muskauer Straße,179
Wisbyer Straße,180
Prenzlauer Berg,180
Radweg,180
Schlesisches Tor,181
Kreuzberg,181
Skalitzer Straße,181
Wrangelstraße,181
Berlin,182
Baumschulenweg,182
Heidekampweg,182
Kiefholzstraße,182
Kiefholzbrücke,182
Flensburg,183
Fritz-Erler-Allee,184
Gropiusstadt,184
Rummelsburg,185
Berlin,185
Berlin-Adlershof,185
Nipkowstraße,185
Karlshorster Straße,185
Brand,186
Joseph-Schmidt-Straße,186
Neukölln,186
Reinickendorf,187
Solferinostraße,187
Wittenau,188
Prenzlauer Berg,189
Greifswalder Straße,189
Spandau,190
Heerstraße,190
Altenbraker Straße,191
Neukölln,191
Emser Straße,191
Westend,192
Stuttgarter Platz,193
Berlin,193
Charlottenburg,193
Wilhelmstadt,194
Heerstraße,194
Gatower Straße,194
Markgrafenstraße,195
Weißensee,196
Tassostraße,196
Buckow,197
Zoologischer Garten,198
Wilmersdorf,198
Berliner Straße,198
Hertastraße,199
Silbersteinstraße,199
Steglitz,200
Schloßstraße,200
Dahlem-Dorf,200
Rixdorfer Straße,201
Alt-Mariendorf,201
Mariendorf,201
Bergmannstraße,202
Gneisenaustraße,202
Nostitzstraße,202
Bergstraße,203
Johannisthal,204
Waldstraße,204
Lübars,205
Quickborner Straße,205
Saatwinkler Damm,206
Haselhorst,206
Haselhorster Damm,206
Helene-Weigel-Platz,207
Marzahn,207
Panoramastraße,208
Rigaer Straße,209
Algerien,209
Oberspreestraße,209
Friedrichshain,209
Köpenick,209
Schönelinder Weg,210
Karow,210
Prenzlauer Berg,211
Seestraße,212
Charlottenburg-Nord,212
Stromstraße,213
Unter den Eichen,214
Dahlemer Weg,214
Drakestraße,214
Lichterfelde,214
Steglitz,215
Spandauer Straße,216
Grunerstraße,216
Brandenburger Tores,217
Großer Stern,217
Karl-Marx-Straße,218
Thomasstraße,218
Neukölln,218
Nymphenburger Straße,219
Schöneberg,219
Innsbrucker Straße,219
Markgrafenstraße,220
Leipziger Straße,220
Hubertusalle,221
Rathenauplatz,221
Halenseestraße,221
Grunewald,221
Tempelhof,222
Neukölln,223
Wedding,223
Hermann-Hesse-Straße,224
Güllweg,224
Dietzgenstraße,224
Niederschönhausen,224
Waldstraße,224
Wilmersdorfer Straße,225
Charlottenburg,225
Leiblstraße,226
Baumschulenweg,226
Frauenlobstraße,226
Köpenicker Landstraße,226
Antonienstraße,227
Reinickendorf,227
Berlin,227
Kreuzberg,228
Gitschiner Straße,228
Dietzgenstraße,229
Niederschönhausen,229
Hermann-Hesse-Straße,229
Prenzlauer Allee,230
Prenzlauer Berg,230
Erich-Weinert-Straße,230
Spandau,231
Falkenseer Damm,231
Berlin,232
Warschauer Brücke,233
Friedrichshain,233
Wilmersdorfer Straße,234
Charlottenburg,234
Niebuhrstraße,234
Glockenturmstraße,235
Passenheimer Weg,235
Westend,235
Schöneberg,236
Bayreuther Straße,236
Brunsbütteler Damm,237
Grün,237
Spandau,237
Kurfürstendamm,238
Charlottenburg,238
München,239
Gotzkowskystraße,239
Berlin,239
Moabit,239
Oberschöneweide,240
Wilhelminenhofstraße,240
Schöneweide,240
Edisonstraße,240
Wendenschloßstraße,241
Köpenick,241
Salvador-Allende-Straße,241
Friedrichshain,242
Syrien,242
Berlin,242
Neukölln,242
BAB 100,243
Charlottenburg,243
Nord,243
Kurfürstendamm,243
Reinickendorf,243
Siemensdamm,243
Kurt-Schumacher-Platz,243
Brandenburg,244
Tempelhof,244
Berlin,244
Bülowstraße,244
Potsdamer Platz,245
Rummelsburg,245
Berlin,245
Leipziger Platz,245
Nöldnerstraße,245
Wilmersdorfer Straße,246
Frankfurter Allee,247
Friedrichshain,248
Hausburgstraße,248
Wisbyer Straße,249
Wisbyer,249
Neumannstraße,249
Pankow,249
Charlottenstraße,250
Friedrichstraße,250
Unter den Linden,250
Köpenick,251
Treskowallee,252
Karlshorst,252
Ehrlichstraße,252
Alten Jakobstraße,253
Sebastianstraße,253
Martin-Luther-Straße,254
Motzstraße,254
Kalckreuthstraße,254
Schöneberg,254
Schmargendorf,255
Hundekehlestraße,255
Warnemünder Straße,255
Martin-Luther-Straße,256
Schöneberg,256
Fuggerstraße,256
Viktoria-Luise-Platz,256
Pankow,257
Brehmestraße,257
Brandenburg,258
Eddastraße,258
Flensburg,258
Himmelpfort,258
Landfliegerstraße,259
Hagedornstraße,259
Johannisthal,259
Kreuzberg,260
Gitschiner Straße,260
Reinickendorf,261
Haßlingerweg,261
Landsberger Allee,262
Prenzlauer Berg,262
Moabit,263
Turmstraße,263
Berlin,264
Neuen Weberstraße,266
Friedrichshain,266
Kreuzberg,267
Lausitzer Platz,267
Margarethe-Sommer-Straße,269
Danziger Straße,269
Ostender Straße,270
Lütticher Straße,270
Berlin,270
Kottbusser Tor,271
Dircksenstraße,271
Berlin,271
Brückenstraße,271
Alexanderplatz,271
Müllerstraße,272
Luxemburger Straße,272
Wedding,272
Wilmersdorf,273
Brandenburgischen Straße,273
Schloßstraße,274
Steglitz,274
Buckow,275
Goldhähnchenweg,275
Landsberger Allee,276
Cyanenstraße,276
Prenzlauer Berg,276
Sigridstraße,276
Storkower Straße,276
Schmiere,276
Adalbertstraße,277
Köpenicker Straße,277
Kreuzberg,278
Gitschiner Straße,278
Neukölln,279
Kottbusser Damm,279
Neukölln,280
Hasenheide,280
Charlottenburg,281
Fasanenstraße,281
Stettiner Straße,282
Gesundbrunnen,282
Travemünder Straße,282
Kreuzberg,284
Graefestraße,284
Urbanstraße,284
Schloßstraße,285
Steglitz,285
Friedrich-Karl-Straße,286
Attilaplatz,286
Tempelhof,286
Attilastraße,286
Potsdamer Straße,287
Mehrower Allee,288
Marzahn-Hellersdorf,288
Karower Chaussee,289
Lichtenberg,290
Frankfurter Allee,290
Neu-Hohenschönhausen,291
Neubrandenburger Straße,291
Lichtenberg,292
Frankfurter Allee,292
Spandau,293
Klosterstraße,293
Hermsdorfer Damm,294
Hermsdorf,294
Rot,294
Gesundbrunnen,295
Putbusser Straße,295
Warschauer Brücke,296
Warschauer Straße,296
Friedrichshain,296
Friedrichstraße,297
Georgenstraße,297
An der Ostbahn,298
Friedrichshain,298
Charlottenburg,299
Lichtenberg,300
Frankfurter Allee,300
Großen Tiergarten,301
An der,302
Urania Ecke Kleiststraße,302
Schöneberg,302
An der Urania,302
Kleiststraße,302
Französische Straße,303
Kreuzberg,304
Manteuffelstraße,304
Köpenicker Straße,304
Dircksenstraße,305
Berlin,305
Voltairestraße,305
Streit,305
Alexanderplatz,305
Reinickendorf,306
Ollenhauerstraße,306
Ruppiner Chaussee,306
Kurt-Schumacher-Platz,306
Berlin-Heiligensee,306
Streit,307
Kieler Straße,307
Schöneberg,308
Frankenstraße,308
Steglitz-Zehlendorf,309
Charlottenburg,309
Kantstraße,309
Charlottenburg-Wilmersdorf,309
Zehlendorf,309
Clayallee,309
Kreuzberg,310
Kottbusser Damm,310
Innsbrucker Straße,311
Schöneberg,311
Wexstraße,311
Niederneuendorfer Allee,312
Hakenfelde,312
Langen Brücke,313
Köpenick,313
Bernauer Straße,314
Spandau,314
Innenstadt,314
Reinickendorf,314
Tegel,314
Beusselstraße,315
Moabit,315
Adalbertstraße,316
Kreuzberg,316
Reichenberger Straße,316
Blumenstraße,317
Tiergarten,317
Körnerstraße,317
Charlottenburg,318
Neumannstraße,318
Pankow,318
Kastanienallee,319
Mahlsdorfer Straße,319
Mahlsdorf,319
Hultschiner Damms,319
Hultschiner Damm,319
Spandau,320
Carl-Schurz-Straße,320
Kreuzberg,321
Südstern,322
Kreuzberg,322
Mittenwalder Straße,322
Gneisenaustraße,322
Friedrichshain,323
Wühlischstraße,323
Hermannstraße,324
Neukölln,324
Silbersteinstraße,324
Seestraße,325
Charlottenburg,326
Oranienstraße,326
Skalitzer Straße,326
Manteuffelstraße,326
Wiener Straße,326
Mariannenstraße,326
Frohnau,327
Reinickendorf,327
Landsberger Allee,328
Fennpfuhl,328
Vulkanstraße,328
Lichtenberg,329
Karl-Marx-Allee,329
Berlin,330
Tiergartenufer,331
Bachstraße,331
Großer Stern,331
AVUS,332
Zehlendorf,332
Flensburg,332
Potsdam,332
Sachsenhauser Straße,333
Berlin,333
Rohdestraße,333
Germaniastraße,333
Haus 7,333
Lankwitz,333
Eiswaldtstraße,333
Lichtenberg,334
Berlin,334
Schnellerstraße,334
Niederschöneweide,334
Wildau,334
Karlshorster Straße,334
Weißensee,335
Columbiadamm,336
Tempelhof,336
Berlin,336
Siemensstadt,337
Stadionweg,337
Hermannstraße,338
Britz Leib,338
Oberlandstraße,338
Karl-Marx-Straße,338
M 44,338
Grenzallee,338
Hertastraße,338
Neukölln,338
Siegfriedstraße,338
Britzer Tunnel,338
Emser Straße,338
Rathausstraße,339
Staaken,340
Fußgängerfurt,340
Heerstraße,340
Gatower Straße,340
Britz,341
Britzer Damm,341
Schönleinstraße,342
Mainz,342
Berlin,342
Neukölln,342
Kreuzberg,342
Hannemannstraße,343
Britz,343
Buschkrugallee,343
Sonnenallee,344
Böhmischen Straße,344
Neukölln,344
Niederneuendorfer Allee,345
Hakenfelde,345
Lichterfelde,346
